Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
2,"201485-000","SAN JOSÉ","1","201485","54,618,900.00 COLONES"
3,"219494-000","PUNTARENAS","6","219494","2,330,000.00 COLONES"
4,"176997-000","GUANACASTE","5","176997","7,337,037.50 COLONES"
5,"152221-000","GUANACASTE","5","152221","17,848,600.00 COLONES"
6,"348517-002-003-004","SAN JOSÉ","1","348517","38,000,000.00 COLONES"
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
2,"201485-000","SAN JOSÉ","1","201485","54,618,900.00 COLONES"
3,"219494-000","PUNTARENAS","6","219494","2,330,000.00 COLONES"
4,"176997-000","GUANACASTE","5","176997","7,337,037.50 COLONES"
5,"152221-000","GUANACASTE","5","152221","17,848,600.00 COLONES"
6,"348517-002-003-004","SAN JOSÉ","1","348517","38,000,000.00 COLONES"
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
2,"201485-000","SAN JOSÉ","1","201485","54,618,900.00 COLONES"
3,"219494-000","PUNTARENAS","6","219494","2,330,000.00 COLONES"
4,"176997-000","GUANACASTE","5","176997","7,337,037.50 COLONES"
5,"152221-000","GUANACASTE","5","152221","17,848,600.00 COLONES"
6,"348517-002-003-004","SAN JOSÉ","1","348517","38,000,000.00 COLONES"
7,"102005-001-002","HEREDIA","4","102005","13,004,500.00 COLONES"
8,"153286-F-000","CARTAGO","3","153286","FINCA NO ENCONTRADA"
9,"50588-F-000","PUNTARENAS","6","50588","FINCA NO ENCONTRADA"
10,"708686-000","SAN JOSÉ","1","708686","32,020,480.00 COLONES"
11,"412603-000","ALAJUELA","2","412603","58,482,030.00 COLONES"
12,"340610-000","ALAJUELA","2","340610","28,617,680.00 COLONES"
13,"46202-F-000","PUNTARENAS","6","46202","FINCA NO ENCONTRADA"
14,"167476-000","PUNTARENAS","6","167476","31,210,800.00 COLONES"
15,"92534-000","CARTAGO","3","92534","28,062,175.00 COLONES"
16,"58742-000","CARTAGO","3","58742","70,541,525.00 COLONES"
17,"638709-000","SAN JOSÉ","1","638709","30,506,400.00 COLONES"
18,"231160-000","SAN JOSÉ","1","231160","42,994,700.00 COLONES"
19,"199211-F-000","SAN JOSÉ","1","199211","FINCA NO ENCONTRADA"
20,"40104-F-000","SAN JOSÉ","1","40104","FINCA NO ENCONTRADA"
21,"218809-000","CARTAGO","3","218809","59,635,800.00 COLONES"
22,"245187-000","SAN JOSÉ","1","245187","50,952,797.91 COLONES"
23,"457581-000","SAN JOSÉ","1","457581","42,700,325.00 COLONES"
24,"84262-000","HEREDIA","4","84262","69,463,250.00 COLONES"
25,"744628-000","SAN JOSÉ","1","744628","35,763,700.00 COLONES"
26,"3185-F-000","SAN JOSÉ","1","3185","FINCA NO ENCONTRADA"
27,"105250-F-000","CARTAGO","3","105250","FINCA NO ENCONTRADA"
28,"195476-000","HEREDIA","4","195476","55,000,000.00 COLONES"
29,"579458-000","SAN JOSÉ","1","579458","112,009,319.00 COLONES"
30,"150923-003-004","CARTAGO","3","150923","100,000,000.00 COLONES"
31,"384821-000","SAN JOSÉ","1","384821","69,514,320.00 COLONES"
32,"561324-000","SAN JOSÉ","1","561324","56,842,710.00 COLONES"
33,"126759-F-000","HEREDIA","4","126759","FINCA NO ENCONTRADA"
34,"34723-F-000","HEREDIA","4","34723","FINCA NO ENCONTRADA"
35,"316453-000","ALAJUELA","2","316453","70,181,267.74 COLONES"
36,"50509-F-000","SAN JOSÉ","1","50509","FINCA NO ENCONTRADA"
37,"141489-F-000","SAN JOSÉ","1","141489","FINCA NO ENCONTRADA"
38,"106048-F-000","SAN JOSÉ","1","106048","FINCA NO ENCONTRADA"
39,"215949-F-000","HEREDIA","4","215949","FINCA NO ENCONTRADA"
40,"30036-F-000","SAN JOSÉ","1","30036","FINCA NO ENCONTRADA"
41,"46622-F-000","HEREDIA","4","46622","FINCA NO ENCONTRADA"
42,"142423-000","HEREDIA","4","142423","181,522,092.00 COLONES"
43,"376509-000","ALAJUELA","2","376509","200,527,025.00 COLONES"
44,"98427-000","HEREDIA","4","98427","208,072,000.00 COLONES"
45,"134466-000","SAN JOSÉ","1","134466","215,300,400.00 COLONES"
46,"18761-000","SAN JOSÉ","1","18761","SIN VALOR FISCAL"
47,"151937-000","GUANACASTE","5","151937","ERROR"
48,"288438-000","SAN JOSÉ","1","288438","ERROR"
49,"272231-001-002-003","ALAJUELA","2","272231","ERROR"
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
47,"151937-000","GUANACASTE","5","151937","668,142,000.00 COLONES"
48,"288438-000","SAN JOSÉ","1","288438","1,098,001,800.00 COLONES"
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
49,"272231-001-002-003","ALAJUELA","2","272231","13,649,795.00 COLONES"
50,"174764-001-002","CARTAGO","3","174764","46,100,000.00 COLONES"
47,"151937-000","GUANACASTE","5","151937","668,142,000.00 COLONES"
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
51,"417131-000","SAN JOSÉ","1","417131","90,700,000.00 COLONES"
48,"288438-000","SAN JOSÉ","1","288438","1,098,001,800.00 COLONES"
52,"43073-000","PUNTARENAS","6","43073","166,600,560.00 COLONES"
49,"272231-001-002-003","ALAJUELA","2","272231","13,649,795.00 COLONES"
47,"151937-000","GUANACASTE","5","151937","668,142,000.00 COLONES"
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
53,"157662-001-002","SAN JOSÉ","1","157662","20,649,962.00 COLONES"
50,"174764-001-002","CARTAGO","3","174764","46,100,000.00 COLONES"
48,"288438-000","SAN JOSÉ","1","288438","1,098,001,800.00 COLONES"
51,"417131-000","SAN JOSÉ","1","417131","SIN VALOR FISCAL"
49,"272231-001-002-003","ALAJUELA","2","272231","SIN VALOR FISCAL"
52,"43073-000","PUNTARENAS","6","43073","SIN VALOR FISCAL"
Fila,Matricula,Provincia,ProvCod,NumFinca,ValorFiscal
